"Timestamp","1. Gender ?","2. Age ?","3. What type of street food saw a decline due to hygiene concern during pandemic ?","4. To avoid crowded marketplaces, people often bought which staple food item in bulk?","5. Which regional cuisine gained attention as people explored diverse flavors at home?","6. Due to limited access to fresh vegetables, which type of preserved vegetable gained popularity?","7. Are you vaccinated with both doses?","8. To boost their immune systems, people consumed foods rich in which vitamin?","9. When COVID-19 cases are high, which factor is more likely to influence your choice?","10. How likely are you to choose online food ordering due to the convenience of contactless payments and delivery?","11. Are there any new recipes you've tried during the pandemic that you've really enjoyed ?","12. Which ingredient saw a surge in demand due to its immunity-boosting properties?","13. Which fruit was widely consumed for its vitamin C content during the pandemic ?"
"2023/08/09 2:30:19 PM GMT+5:30","Female","25 - 35","Vada Pav","Rice;Wheat flour;Lentils;Potatoes","Rajasthani","Frozen vegetables","Yes","Vitamin C","Feeling comfortable with indoor dining precautions","Very likely; I priorities minimal contact","Yes","Turmeric","Orange"
"2023/08/09 2:30:51 PM GMT+5:30","Female","15 - 25","Pani Puri;Samosa;Dosa;Vada Pav","Rice;Wheat flour;Lentils;Potatoes","North indian","Frozen vegetables","Yes","Vitamin D","Feeling comfortable with indoor dining precautions","Not very likely; I prefer paying in-person","Yes","Turmeric;Cumin seeds","Orange"
"2023/08/09 2:31:00 PM GMT+5:30","Female","25 - 35","Pani Puri;Samosa;Dosa;Vada Pav","Rice;Wheat flour;Lentils","South indian","Pickle","No","Vitamin C","Prioritising takeout to minimize exposure","Not very likely; I prefer paying in-person","Yes","Turmeric","Orange"
"2023/08/09 2:32:43 PM GMT+5:30","Female","15 - 25","Pani Puri","Rice","North indian","Frozen vegetables","Yes","Vitamin C","Opting for outdoor dining options","Very likely; I priorities minimal contact","No","Turmeric","Orange"
"2023/08/09 2:36:33 PM GMT+5:30","Male","25 - 35","Pani Puri","Rice","Maggi","Chakna","Yes","Vitamin D","Ordering online for contactless delivery","Very likely; I priorities minimal contact","No","Turmeric","Banana"
"2023/08/09 2:40:47 PM GMT+5:30","Female","15 - 25","Pani Puri","Rice","North indian","Frozen vegetables","Yes","","Feeling comfortable with indoor dining precautions","Very likely; I priorities minimal contact","Yes","Turmeric;Fennel seeds","Orange"
"2023/08/09 2:42:17 PM GMT+5:30","Female","15 - 25","Pani Puri;Samosa;Dosa;Vada Pav","Potatoes","Rajasthani","Frozen vegetables","Yes","Vitamin C","Feeling comfortable with indoor dining precautions","Very likely; I priorities minimal contact","Yes","Turmeric;Cumin seeds;Coriander leaves;Fennel seeds","Orange"
"2023/08/09 2:45:09 PM GMT+5:30","Female","15 - 25","Pani Puri;Samosa;Dosa;Vada Pav","Rice;Wheat flour;Potatoes","North indian","Pickle","Yes","Vitamin C","Feeling comfortable with indoor dining precautions","Very likely; I priorities minimal contact","Yes","Turmeric","Orange"
"2023/08/09 2:46:42 PM GMT+5:30","Female","15 - 25","Pani Puri","Lentils","North indian","Pickle","Yes","Vitamin A","Feeling comfortable with indoor dining precautions","Very likely; I priorities minimal contact","Yes","Turmeric","Orange"
"2023/08/09 2:47:48 PM GMT+5:30","Female","25 - 35","","Rice;Wheat flour;Lentils","Punjabi","Frozen vegetables","Yes","Vitamin C","Feeling comfortable with indoor dining precautions","Very likely; I priorities minimal contact","Yes","Turmeric","Orange"
"2023/08/09 2:50:32 PM GMT+5:30","Female","15 - 25","Pani Puri;Samosa;Dosa;Vada Pav","Rice","South indian","Frozen vegetables","Yes","Vitamin C","Ordering online for contactless delivery","Very likely; I priorities minimal contact","Yes","Turmeric;Cumin seeds","Orange"
"2023/08/09 2:53:25 PM GMT+5:30","Female","35 - 45","Pani Puri","Rice;Lentils","North indian","Frozen vegetables","Yes","Vitamin C","Feeling comfortable with indoor dining precautions","Somewhat likely; I consider it but not always","Yes","Turmeric","Banana"
"2023/08/09 3:01:25 PM GMT+5:30","Female","15 - 25","Pani Puri","Rice","South indian","Canned vegetables","Yes","Vitamin C","Feeling comfortable with indoor dining precautions","Very likely; I priorities minimal contact","Yes","Turmeric","Orange"
"2023/08/09 3:02:53 PM GMT+5:30","Female","15 - 25","Pani Puri","Rice;Wheat flour;Lentils","South indian","Frozen vegetables","Yes","Vitamin C","Ordering online for contactless delivery","Very likely; I priorities minimal contact","Yes","Turmeric","Orange"
"2023/08/09 3:16:07 PM GMT+5:30","Female","15 - 25","Vada Pav","Lentils","Punjabi","Frozen vegetables","Yes","Vitamin B12","Feeling comfortable with indoor dining precautions","Not very likely; I prefer paying in-person","Yes","Coriander leaves","Orange"
"2023/08/09 3:44:41 PM GMT+5:30","Female","15 - 25","Pani Puri","Wheat flour;Lentils","","","Yes","Vitamin C","Feeling comfortable with indoor dining precautions","Somewhat likely; I consider it but not always","Yes","Turmeric","Orange"
"2023/08/09 4:08:52 PM GMT+5:30","Male","15 - 25","Pani Puri","Rice","South indian","Dried vegetables","Yes","Vitamin C","Prioritising takeout to minimize exposure","Somewhat likely; I consider it but not always","Yes","Cumin seeds","Orange"
"2023/08/09 4:14:27 PM GMT+5:30","Female","15 - 25","Pani Puri","Rice","Punjabi","Frozen vegetables","Yes","Vitamin C","Feeling comfortable with indoor dining precautions","Somewhat likely; I consider it but not always","Yes","Turmeric","Orange"
"2023/08/09 4:17:55 PM GMT+5:30","Female","25 - 35","Pani Puri","Rice;Wheat flour;Lentils","North indian","Frozen vegetables","Yes","Vitamin C","Ordering online for contactless delivery","Very likely; I priorities minimal contact","Yes","Turmeric","Orange"
"2023/08/09 4:53:38 PM GMT+5:30","Female","15 - 25","Pani Puri","Potatoes","North indian","Canned vegetables","Yes","Vitamin C","Feeling comfortable with indoor dining precautions","Somewhat likely; I consider it but not always","Yes","Turmeric","Orange"
"2023/08/09 5:15:45 PM GMT+5:30","Female","15 - 25","Pani Puri","Rice;Wheat flour;Lentils;Potatoes","North indian","Frozen vegetables","Yes","Vitamin C","Ordering online for contactless delivery","Very likely; I priorities minimal contact","Yes","Turmeric","Orange"
"2023/08/09 5:18:44 PM GMT+5:30","Male","25 - 35","Dosa","Rice","North indian","Canned vegetables","Yes","Vitamin C","Ordering online for contactless delivery","Not very likely; I prefer paying in-person","Yes","Turmeric","Orange"
"2023/08/09 5:38:31 PM GMT+5:30","Female","15 - 25","Pani Puri;Samosa;Vada Pav","Rice;Wheat flour","North indian","Frozen vegetables","Yes","Vitamin C","Ordering online for contactless delivery","Very likely; I priorities minimal contact","Yes","Turmeric","Orange"
"2023/08/09 5:39:43 PM GMT+5:30","Female","15 - 25","Pani Puri;Vada Pav","Rice;Wheat flour","North indian","Frozen vegetables","Yes","Vitamin C","Feeling comfortable with indoor dining precautions","Somewhat likely; I consider it but not always","Yes","Turmeric","Orange"
"2023/08/09 6:08:18 PM GMT+5:30","Female","25 - 35","Pani Puri","Rice;Wheat flour;Lentils;Potatoes","South indian","Frozen vegetables","Yes","Vitamin D","Feeling comfortable with indoor dining precautions","Somewhat likely; I consider it but not always","No","Turmeric;Cumin seeds","Orange"
"2023/08/09 6:17:19 PM GMT+5:30","Female","25 - 35","Pani Puri;Dosa","Rice;Wheat flour","North indian","Dried vegetables","Yes","Vitamin A","Ordering online for contactless delivery","Not likely at all; I rarely use contactless methods","Yes","Coriander leaves","Orange"
"2023/08/09 6:34:37 PM GMT+5:30","Male","25 - 35","Pani Puri;Samosa;Dosa;Vada Pav","Rice","North indian","Canned vegetables","Yes","Vitamin B12","Feeling comfortable with indoor dining precautions","Very likely; I priorities minimal contact","Yes","Fennel seeds","Banana"
"2023/08/09 6:38:59 PM GMT+5:30","Female","25 - 35","Pani Puri","Rice","South indian","Dried vegetables","Yes","Vitamin A","Ordering online for contactless delivery","Not likely at all; I rarely use contactless methods","Yes","Turmeric;Cumin seeds","Banana"
"2023/08/09 8:32:12 PM GMT+5:30","Female","15 - 25","Pani Puri","Rice","North indian","Frozen vegetables","Yes","Vitamin C","Ordering online for contactless delivery","Very likely; I priorities minimal contact","Yes","Turmeric","Orange"
"2023/08/09 8:55:48 PM GMT+5:30","Female","15 - 25","Pani Puri;Dosa","Wheat flour;Potatoes","","Frozen vegetables","Yes","Vitamin C","Feeling comfortable with indoor dining precautions","Not very likely; I prefer paying in-person","Yes","Cumin seeds","Orange"
"2023/08/09 9:55:12 PM GMT+5:30","Female","15 - 25","Pani Puri","Rice;Wheat flour;Potatoes","South indian","Frozen vegetables","Yes","Vitamin C","Opting for outdoor dining options","Very likely; I priorities minimal contact","Yes","Turmeric","Orange"
"2023/08/09 10:34:06 PM GMT+5:30","Female","15 - 25","Pani Puri;Samosa;Dosa;Vada Pav","Rice;Wheat flour;Lentils;Potatoes","North indian","Pickle","Yes","Vitamin B12","Ordering online for contactless delivery","Very likely; I priorities minimal contact","Yes","Turmeric;Cumin seeds;Fennel seeds","Orange"
"2023/08/09 11:22:44 PM GMT+5:30","Female","15 - 25","Pani Puri","Potatoes","Chinese","Frozen vegetables","Yes","Vitamin C","Feeling comfortable with indoor dining precautions","Very likely; I priorities minimal contact","Yes","Turmeric","Orange"
"2023/08/09 11:39:11 PM GMT+5:30","Female","25 - 35","Pani Puri","Potatoes","","","Yes","Vitamin B12","Feeling comfortable with indoor dining precautions","Not likely at all; I rarely use contactless methods","Yes","Turmeric","Orange"
"2023/08/09 11:48:45 PM GMT+5:30","Female","15 - 25","Pani Puri","Wheat flour","North indian","Frozen vegetables","Yes","","Ordering online for contactless delivery","Very likely; I priorities minimal contact","Yes","Turmeric","Orange"
"2023/08/10 12:06:07 AM GMT+5:30","Female","15 - 25","Pani Puri","Rice;Wheat flour","South indian","Frozen vegetables","Yes","Vitamin C","Feeling comfortable with indoor dining precautions","Somewhat likely; I consider it but not always","Yes","Turmeric","Banana;Orange"
"2023/08/10 2:45:50 PM GMT+5:30","Female","15 - 25","Pani Puri","Rice;Wheat flour","North indian","Pickle","Yes","Vitamin B12","Feeling comfortable with indoor dining precautions","Not likely at all; I rarely use contactless methods","No","Turmeric","Orange"
